paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
ISPA-2016-P0011,ISPA,ISPA,2016,complete,Accelerating Big Data Applications on Tiered Storage System with Various Eviction Policies,Peng Shu|Rong Gu|Qianhao Dong|Chunfeng Yuan|Yihua Huang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Accelerating+Big+Data+Applications+on+Tiered+Storage+System+with+Various+Eviction+Policies,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1350
ISPA-2016-P0012,ISPA,ISPA,2016,complete,Adjusting Parameters of k-Ary n-Cube to Achieve Better Cost Performance,Yamin Li|Wanming Chu,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Adjusting+Parameters+of+k-Ary+n-Cube+to+Achieve+Better+Cost+Performance,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1218
ISPA-2016-P0013,ISPA,ISPA,2016,complete,An Analytical Model of Data Plane Performance Subject to Prioritized Service,Yongjian Ren|Dailiang Jin|Dongyu Zheng|Lei Liu|Xinjing Wei,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=An+Analytical+Model+of+Data+Plane+Performance+Subject+to+Prioritized+Service,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1537
ISPA-2016-P0014,ISPA,ISPA,2016,complete,An Enhanced Node Mapping Algorithm for VNE Problem Based on Path Relevance,Qijia Zhang|Fangjin Zhu|Canhui Wang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=An+Enhanced+Node+Mapping+Algorithm+for+VNE+Problem+Based+on+Path+Relevance,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1204
ISPA-2016-P0015,ISPA,ISPA,2016,complete,An Improved Multi-path Routing Algorithm for Hybrid LEO-MEO Satellite Networks,Yanbo Liu|Wenchao Xu|Feilong Tang|Lei Kuang|Yanqin Yang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=An+Improved+Multi-path+Routing+Algorithm+for+Hybrid+LEO-MEO+Satellite+Networks,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,ISPA-C04,"Network routing, in-network computing, and datacenter communication",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1101
ISPA-2016-P0016,ISPA,ISPA,2016,complete,An Optimized Layered Routing Algorithm for GEO/LEO Hybrid Satellite Networks,Meng Jiang|Yanbo Liu|Wenchao Xu|Feilong Tang|Yanqin Yang|Lei Kuang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=An+Optimized+Layered+Routing+Algorithm+for+GEO/LEO+Hybrid+Satellite+Networks,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,ISPA-C04,"Network routing, in-network computing, and datacenter communication",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1153
ISPA-2016-P0017,ISPA,ISPA,2016,complete,Bicriteria Load Balancing for Online Placement in Heterogeneous Servers with Extreme Upper Bounds Savio S.H. Tse Differential Evolution Based Selective Ensemble of Extreme Learning Machine,Yong Zhang|Bo Liu|Fan Yang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Bicriteria+Load+Balancing+for+Online+Placement+in+Heterogeneous+Servers+with+Extreme+Upper+Bounds+Savio+S.H.+Tse+Differential+Evolution+Based+Selective+Ensemble+of+Extreme+Learning+Machine,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1319
ISPA-2016-P0018,ISPA,ISPA,2016,complete,BOLAS+: Scalable Lightweight Locality-Aware Scheduling for Hadoop,Shengli Gao|Ruini Xue,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=BOLAS+:+Scalable+Lightweight+Locality-Aware+Scheduling+for+Hadoop,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1077
ISPA-2016-P0019,ISPA,ISPA,2016,complete,Capacity Analysis and Link Scheduling Design in Double-Channel Full-Duplex Wireless Networks,Lulu Li|Zhuo Li|Xin Chen,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Capacity+Analysis+and+Link+Scheduling+Design+in+Double-Channel+Full-Duplex+Wireless+Networks,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1581
ISPA-2016-P0020,ISPA,ISPA,2016,complete,Codelet Scheduling by Genetic Algorithm,Songwen Pei|Jinkai Wang|Wenyang Cui|Linhua Jiang|Tongsheng Geng,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Codelet+Scheduling+by+Genetic+Algorithm,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1492
ISPA-2016-P0021,ISPA,ISPA,2016,complete,Community Detection in Complicated Network Based on the Multi-view Weighted Signed Permanence,Juan-Hui Li|Pei-Zhen Li|Chang-Dong Wang|Jian-Huang Lai,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Community+Detection+in+Complicated+Network+Based+on+the+Multi-view+Weighted+Signed+Permanence,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,ISPA-C04,"Network routing, in-network computing, and datacenter communication",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1589
ISPA-2016-P0022,ISPA,ISPA,2016,complete,Data-Oriented Runtime Scheduling Framework on Multi-GPUs,Tao Li|Kezhao Zhao|Qiankun Dong|Jiabing Ling|Yulu Yang|Wenjing Ma,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Data-Oriented+Runtime+Scheduling+Framework+on+Multi-GPUs,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T02/T03/T05/T06/T07,accelerator_gpu_fpga_architecture,gpu|fpga|accelerator|architecture,ISPA-C05,"Accelerator, GPU, FPGA, and specialized architecture",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1311
ISPA-2016-P0023,ISPA,ISPA,2016,complete,DedupeSwift: Object-Oriented Storage System Based on Data Deduplication,Jingwei Ma|Gang Wang|Xiaoguang Liu,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=DedupeSwift:+Object-Oriented+Storage+System+Based+on+Data+Deduplication,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1069
ISPA-2016-P0024,ISPA,ISPA,2016,complete,"Ephemeral Data Storage for Networks of Hand-Held Devices João A. Silva, Ricardo Monteiro, Hervé Paulino, and João M. Lourenço An Indoor and Outdoor Seamless Positioning System Based on Android Platform",Minglei Jia|Yanqin Yang|Lei Kuang|Wenchao Xu|Tianxing Chu|Hongzhi Song,ISPA 2016,ISPA 2016,accepted_paper,,,,,,"https://dblp.org/search?q=Ephemeral+Data+Storage+for+Networks+of+Hand-Held+Devices+João+A.+Silva,+Ricardo+Monteiro,+Hervé+Paulino,+and+João+M.+Lourenço+An+Indoor+and+Outdoor+Seamless+Positioning+System+Based+on+Android+Platform",,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1106
ISPA-2016-P0025,ISPA,ISPA,2016,complete,Evaluating and Optimizing Parallel LU-SGS for High-Order CFD Simulations on the Tianhe-2 Supercomputer,Dali Li|Chuanfu Xu|Ningbo Guo,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Evaluating+and+Optimizing+Parallel+LU-SGS+for+High-Order+CFD+Simulations+on+the+Tianhe-2+Supercomputer,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T07/T11,parallel_hpc_application_optimization,parallel|hpc|application_optimization,ISPA-C02,Parallel/HPC application optimization,provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1182
ISPA-2016-P0026,ISPA,ISPA,2016,complete,Evaluating Performance of Rescheduling Strategies in Cloud System,Tang Hongyan|Li Ying|Jia Tong|Wu Zhonghai,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Evaluating+Performance+of+Rescheduling+Strategies+in+Cloud+System,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T04/T08/T10,edge_cloud_offloading_scheduling,edge|cloud|scheduling|resource_management,ISPA-C01,"Edge/cloud offloading, scheduling, and resource management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1559
ISPA-2016-P0027,ISPA,ISPA,2016,complete,Evaluating the POWER8 Architecture through Optimizing Stencil-Based Algorithms,Jingheng Xu|Haohuan Fu|Lin Gan|Yu Song|Hongbo Peng|Wen Shi|Guangwen Yang,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Evaluating+the+POWER8+Architecture+through+Optimizing+Stencil-Based+Algorithms,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1374
ISPA-2016-P0028,ISPA,ISPA,2016,complete,Experimental Study of Disruption-Tolerant Transport Protocol for Mobile Ad-Hoc Networks with Connection Diversity,Xiaoshan Chang|Zenghua Zhao|Bingxue Diao|Tao Li,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Experimental+Study+of+Disruption-Tolerant+Transport+Protocol+for+Mobile+Ad-Hoc+Networks+with+Connection+Diversity,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,ISPA-C04,"Network routing, in-network computing, and datacenter communication",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1613
ISPA-2016-P0029,ISPA,ISPA,2016,complete,FairShare: Dynamic Max-Min Fairness Bandwidth Allocation in Datacenters,Jianbang Tian|Zhuzhong Qian|Mianxiong Dong|Sanglu Lu,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=FairShare:+Dynamic+Max-Min+Fairness+Bandwidth+Allocation+in+Datacenters,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T08/T10,network_routing_innetwork_datacenter_comm,network|routing|datacenter|communication,ISPA-C04,"Network routing, in-network computing, and datacenter communication",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1463
ISPA-2016-P0030,ISPA,ISPA,2016,complete,"Hamiltonian Cycle and Path Embeddings in 3-Ary n-Cubes Based on K1,2-Structure Faults",Yali Lv|Cheng-Kuan Lin|Jianxi Fan,ISPA 2016,ISPA 2016,accepted_paper,,,,,,"https://dblp.org/search?q=Hamiltonian+Cycle+and+Path+Embeddings+in+3-Ary+n-Cubes+Based+on+K1,2-Structure+Faults",,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T11,misc_or_application_specific_boundary,needs_review,ISPA-C10,Miscellaneous or application-specific boundary rows,uncertain,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1226
ISPA-2016-P0031,ISPA,ISPA,2016,complete,Hierarchical Consistent Hashing for Heterogeneous Object-Based Storage,Jiang Zhou|Wei Xie|Qiang Gu|Yong Chen,ISPA 2016,ISPA 2016,accepted_paper,,,,,,https://dblp.org/search?q=Hierarchical+Consistent+Hashing+for+Heterogeneous+Object-Based+Storage,,https://www.proceedings.com/content/033/033589webtoc.pdf,https://www.proceedings.com/content/033/033589webtoc.pdf,ISPA 2016 proceedings table of contents,https://www.proceedings.com/content/033/033589webtoc.pdf,proceedings,primary,verified,medium,T10/T11,memory_storage_data_management,memory|storage|cache|data_management,ISPA-C03,"Memory, storage, cache, and data management",provisional,Title/session-level cluster; abstract/PDF review required before stable taxonomy promotion.,,,,,none,,,maybe,doi|abstract,TOC parsed row; page=1597
