global_subfield_label,paper_id,title,year,venue_id,role,why_selected,evidence_id,evidence_url,impact_status_or_caveat,reading_route_note
cim_pim_near_memory_ai,ISSCC-2018-P0019,Conv-RAM,2018,ISSCC,origin_anchor,SRAM convolution compute origin in ISSCC corpus,ISSCC-SW-E0014,https://doi.org/10.1109/ISSCC.2018.8310397,partial_impact; no follow-on proof,origin/formation
cim_pim_near_memory_ai,VLSI-2019-P0178,PCM-synapse continual learning,2019,VLSI,milestone_candidate,memory-device AI milestone with industry signal,VLSI-SW-E0030,https://re.public.polimi.it/bitstream/11311/1127736/1/VLSI_2019.pdf,verified_impact; benchmark+industry,milestone
cim_pim_near_memory_ai,ISSCC-2021-P0089,HBM2 Function-In-Memory DRAM,2021,ISSCC,milestone_candidate,HBM/PIM product-line evidence,ISSCC-SW-E0029,https://doi.org/10.1109/ISSCC42613.2021.9365862,verified_impact; citation_context+industry+benchmark,milestone
cim_pim_near_memory_ai,CICC-2022-P0068,Comprehending In-memory Computing Trends via Proper Benchmarking,2022,CICC,tool_benchmark,CIM benchmarking-methodology row,CICC-SW-E0019,https://doi.org/10.1109/cicc53496.2022.9772817,partial_impact; artifact/benchmark needs review,tool/benchmark
neural_rendering_3dgs_slam,HOTCHIPS-2018-P0013,Navion,2018,HOTCHIPS,origin_anchor,visual-inertial odometry accelerator for micro-robotics,HOTCHIPS-EV-0017,https://hc30.hotchips.org/,partial_impact; citation-only caveat,origin/formation
neural_rendering_3dgs_slam,FPT-2022-P0050,FSLAM,2022,FPT,formation_paper,SLAM accelerator with artifact/benchmark evidence,FPT-SW-E0015,https://github.com/vvemulapati/FSLAM,verified_impact; artifact+benchmark,formation
neural_rendering_3dgs_slam,ISCA-2023-P0038,NeuRex,2023,ISCA,origin_anchor,neural rendering acceleration architecture anchor,ISCA-SW-E0012,https://jaewoong.org/pubs/isca23-neurex.pdf,partial_impact; citation signal only,milestone
neural_rendering_3dgs_slam,ASPLOS-2025-P0097,MetaSapiens,2025,ASPLOS,frontier,real-time neural rendering with code/venue signal,ASPLOS-SW-E0060,https://doi.org/10.1145/3669940.3707227,"emerging_signal; recent, artifact signal",frontier
neural_rendering_3dgs_slam,MLSys-2026-P0150,SwiftGS,2026,MLSys,frontier,fast 3DGS system co-optimization frontier,MLSys-SW-E0107,https://openreview.net/pdf?id=i05mMLR9BX,emerging_signal; artifact+benchmark+toolchain,frontier
production_ai_platforms_scaleup,ISCA-2017-P0018,In-Datacenter TPU Analysis,2017,ISCA,milestone_candidate,production tensor accelerator baseline,ISCA-SW-E0004,https://doi.org/10.1145/3079856.3080246,verified_impact; citation_context+industry+benchmark,origin/milestone
production_ai_platforms_scaleup,HOTCHIPS-2020-P0025,NVIDIA A100 GPU,2020,HOTCHIPS,milestone_candidate,production GPU platform evidence,HOTCHIPS-EV-0029,https://mlcommons.org/en/news/mlperf-inference-v07/,verified_impact; industry+benchmark,milestone
production_ai_platforms_scaleup,ISCA-2023-P0032,TPU v4,2023,ISCA,milestone_candidate,optical reconfigurable ML supercomputer,ISCA-SW-E0011,https://arxiv.org/abs/2304.01433,verified_impact; industry+benchmark,milestone
production_ai_platforms_scaleup,HOTCHIPS-2024-P0016,NVIDIA Blackwell Platform,2024,HOTCHIPS,milestone_candidate,LLM/reasoning perf/TCO platform frontier,HOTCHIPS-EV-0069,https://doi.org/10.1109/HCS61935.2024.10665247,"emerging_signal; industry, recent",frontier
production_ai_platforms_scaleup,ISSCC-2026-P0223,Maia,2026,ISSCC,method_bridge,reticle-scale AI accelerator product signal,ISSCC-SW-E0069,https://doi.org/10.1109/ISSCC49663.2026.11409201,"emerging_signal; industry, recent",frontier
ai_for_eda_llm_hardware_design,TCAD-2021-P0112,DREAMPlace,2021,TCAD,milestone_candidate,GPU-accelerated placement tool anchor,TCAD-SW-E0014,https://github.com/limbo018/DREAMPlace,verified_impact in deep audit; matrix status mismatch,origin/tool
ai_for_eda_llm_hardware_design,TCAD-2023-P0180,CircuitNet,2023,TCAD,tool_benchmark,open VLSI CAD dataset/benchmark,TCAD-SW-E0023,https://github.com/circuitnet/CircuitNet,verified_impact in deep audit; matrix status mismatch,tool/benchmark
ai_for_eda_llm_hardware_design,ICCAD-2023-P0106,VerilogEval,2023,ICCAD,tool_benchmark,early LLM Verilog benchmark,ICCAD-SW-E0031,https://github.com/NVlabs/verilog-eval,verified_impact; artifact+benchmark+citation_context,tool/benchmark
ai_for_eda_llm_hardware_design,ASPDAC-2024-P0085,RTLLM,2024,ASP-DAC,formation_paper,open RTL-generation benchmark,ASP-DAC-SW-E0020,https://github.com/hkust-zhiyao/RTLLM,partial_impact; artifact+benchmark+toolchain,formation
ai_for_eda_llm_hardware_design,DATE-2026-P3629,BENCH4HLS,2026,DATE,tool_benchmark,end-to-end LLM HLS-code benchmark,DATE-SW-E0067,https://arxiv.org/abs/2601.19941,emerging_signal; benchmark candidate,frontier/tool
sparse_irregular_graph_tensor,PPoPP-2016-P0011,Gunrock,2016,PPoPP,milestone_candidate,GPU graph-processing library anchor,PPoPP-SW-E0001,https://doi.org/10.1145/2851141.2851145,partial_impact; benchmark/adoption unverified,origin/milestone
sparse_irregular_graph_tensor,FCCM-2016-P0013,Graph Processing on FPGA,2016,FCCM,milestone_candidate,FPGA graph-processing accelerator anchor,FCCM-SW-E0043,https://doi.org/10.1109/FCCM.2016.35,verified_impact in deep audit; mostly citation/benchmark,milestone
sparse_irregular_graph_tensor,SC-2018-P0043,HiCOO,2018,SC,milestone_candidate,sparse tensor storage milestone,SC-SW-E0037,https://doi.org/10.1109/SC.2018.00022,partial_impact; benchmark/adoption not proven,milestone
sparse_irregular_graph_tensor,PPoPP-2022-P0006,RTNN,2022,PPoPP,formation_paper,neighbor search via hardware ray tracing,PPoPP-SW-E0017,https://doi.org/10.1145/3503221.3508409,partial_impact; code claimed unchecked,method_bridge
sparse_irregular_graph_tensor,PACT-2024-P0027,ZeD,2024,PACT,frontier,variably sparse matrix accelerator frontier candidate,PACT-SW-E0089,https://pact2024.github.io/program/,weak; program/title only,frontier
