workload_id,domain,workload_name,task_description,input_shape_or_dataset,core_kernels_or_stages,bottleneck_hypothesis,target_platforms,real_device_runnable,known_implementations,source_urls,verification_status,notes
WA-WL-HPC-001,hpc_kernels,Dense tensor and fused inference kernels,"Evaluate dense linear algebra, tensor contraction, attention and graph/operator fusion as reusable accelerator motifs.","HPL; GEMM microbenchmarks; MLPerf Inference models; TensorRT/ONNX/XLA graphs","GEMM; convolution; tensor contraction; softmax; norm; epilogue fusion; layout transform","High arithmetic intensity can still be limited by intermediate tensor materialization, launch overhead or layout conversion.","CPU; GPU; TPU/NPU; FPGA; ASIC",runnable_unchecked,"HPL; BLIS; cuBLAS; CUTLASS; TVM; TensorRT; ONNX Runtime; OpenXLA","https://www.netlib.org/benchmark/hpl/; https://docs.nvidia.com/cuda/cublas/; https://github.com/NVIDIA/cutlass; https://arxiv.org/abs/1802.04799; https://openxla.org/xla/gpu_architecture; https://onnxruntime.ai/docs/performance/model-optimizations/graph-optimizations.html",verified,"Use vendor-optimized baselines when making performance claims."
"WA-WL-HPC-002",hpc_kernels,"Sparse, graph and irregular kernels","Evaluate sparse linear algebra, graph traversal, pointer chasing and dynamic work queues.","HPCG; GAP Benchmark Suite; Graph500; SuiteSparse/GraphBLAS-style sparse inputs; PACT/ASPLOS sparse rows","SpMV; SpMM; sparse triangular solve; BFS/SSSP/PageRank; gather/scatter; atomic/reduction; work queue","Low arithmetic intensity, load imbalance and random access often dominate; FLOP/s is usually a poor primary metric.","CPU; GPU; NDP/PIM; FPGA; ASIC sparse accelerator",runnable_unchecked,"HPCG; GAPBS; Graph500; GraphBLAS; Gamma; Spada; Flexagon; near-data pointer chasing papers","https://www.hpcg-benchmark.org/; https://github.com/sbeamer/gapbs; https://graph500.org/; https://dl.acm.org/doi/10.1145/3322125; https://dl.acm.org/doi/10.1145/3445814",verified,"Record input graph/sparsity distribution and format conversion overhead."
"WA-WL-HPC-003",hpc_kernels,"Stencil, FFT, scan, sort and reduction motifs","Evaluate structured-grid, spectral, prefix, histogram, sorting and collective communication kernels.","NAS Parallel Benchmarks; PolyBench; FFTW examples; 3DGS tile sort traces; distributed/HPC traces","stencil update; halo exchange; FFT butterfly/transpose; radix/bitonic sort; prefix scan; global reduction","Bottlenecks are often memory reuse, permutation, synchronization or all-to-all communication rather than scalar arithmetic.","CPU; GPU; FPGA dataflow; ASIC; HPC cluster",runnable_unchecked,"NAS NPB; FFTW; PolyBench; SODA; TAPA examples; 3DGS sorting accelerators","https://www.nas.nasa.gov/software/npb.html; https://www.fftw.org/; https://www.cs.colostate.edu/~pouchet/software/polybench/; https://github.com/UCLA-VAST/soda; https://github.com/UCLA-VAST/tapa",verified,"3DGS and robotics rows reuse these motifs; keep motif metrics separate from full application metrics."
WA-WL-FPGA-001,fpga_hls,HLS dataflow kernel implementation,"Map C/C++/DSL kernels into FPGA pipelines with loop pipelining, memory partitioning, task-level dataflow and host-device I/O.","PolyBench/HLS kernels; stencil kernels; streaming vision/3DGS subgraphs; Vitis examples","loop pipeline; task dataflow; FIFO channels; AXI/HBM access; array partition/reshape; fixed-point datapath","HLS II reports can be invalidated by memory stalls, FIFO backpressure, timing failure or host-device copy overhead.","Xilinx/AMD Alveo and Versal; Intel FPGA; Zynq/MPSoC",runnable_unchecked,"Vitis HLS; TAPA; HeteroCL; SODA; AutoSA/other HLS rows in FPGA/FCCM/FPL/ICCAD","https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://github.com/UCLA-VAST/tapa; https://github.com/cornell-zhang/heterocl; https://github.com/UCLA-VAST/soda; https://dl.acm.org/doi/10.1145/3609335",verified,"Do not treat synthesis estimates as board measurements."
WA-WL-FPGA-002,fpga_hls,FPGA accelerator generation and DSE,"Explore resource, timing, buffer sizing, placement and architecture choices for FPGA accelerator design.","Koios-style DL benchmarks; COMBA/DNNBuilder benchmarks; FIFOAdvisor/HLS-Timer tasks; vendor examples","design-space search; pragma selection; FIFO sizing; timing estimation; memory allocation; physical-aware scheduling","Search-time and QoR predictability matter; a generated design must still close timing and be runnable on target hardware.","FPGA CAD tools; HLS compilers; architecture simulators; open-source FPGA flows",runnable_unchecked,"COMBA; DNNBuilder; Koios 2.0; FIFOAdvisor; HLS-Timer; RapidStream/TAPA","https://ieeexplore.ieee.org/document/10114677/; https://github.com/sharc-lab/fifo-advisor; https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://github.com/UCLA-VAST/tapa",needs_review,"Some code links are from venue evidence rows and need author/release confirmation."
"WA-WL-FPGA-003",fpga_hls,"FPGA host, cloud and memory-streaming workloads","Measure accelerator integration overheads around PCIe, CXL, HBM, cloud FPGA virtualization and streaming libraries.","Cloud FPGA kernels; HBM memory managers; PCIe streams; CPU-FPGA platform traces","host enqueue; DMA; PCIe/CXL transfer; HBM allocation; stream scheduling; kernel execution; result copyback","End-to-end speedup can be dominated by data movement and runtime integration even if kernel II is good.","Cloud FPGA; Alveo/HBM FPGA; CPU-FPGA research platforms; chiplet/eFPGA SoCs",needs_review,"JetStream; cloud FPGA virtualization rows; UltraMalloc; Enzian; CICC eFPGA/chiplet rows","https://github.com/UCLA-VAST/tapa; https://docs.amd.com/r/en-US/ug1393-vitis-application-acceleration/Analyzing-Application-Performance; https://www.aspdac.com/aspdac2026/program/program-abstract.html",needs_review,"This row is an integration workload category; exact artifacts differ by venue."
WA-WL-PIM-001,pim_cxl_memory,PIM/CIM Transformer and LLM attention,"Move attention, token pruning, KV-cache or matrix-vector work into or near memory arrays to reduce data movement.","Transformer/LLM attention traces; dynamic token pruning; KV cache; BERT/ViT/edge LLM rows","matrix-vector operations; attention score/softmax approximation; KV read; token pruning; array-level accumulation","Data movement may improve, but ADC/DAC, precision, array utilization, device nonideality and software mapping can dominate.","SRAM-CIM; RRAM/ReRAM-CIM; DRAM-PIM; digital CIM; simulator/prototype chips",needs_review,"AttAcc; PRIMATE; Transformer Hetero-CiM; M3DKV; CIMFormer; LoRA-CIM; TCAD ReRAM Transformer","https://doi.org/10.1145/3620666.3651336; https://www.aspdac.com/aspdac2024/archive/program/program_abst.html; https://www.aspdac.com/aspdac2026/program/program-abstract.html#6B-5; https://ieeexplore.ieee.org/document/9580474/",verified,"Artifact status often simulator-only or unverified; do not infer silicon adoption."
"WA-WL-PIM-002",pim_cxl_memory,"CXL, far memory and tiered-memory systems","Expand, pool or disaggregate memory with CXL/far-memory mechanisms and measure workload sensitivity to latency, bandwidth and migration.","Memory-intensive server workloads; LLM KV/offload traces; page migration traces; far-memory microbenchmarks","page placement; page migration; memory pooling; CXL.mem access; coherence/cache interaction; prefetch and tiering policy","Capacity expansion can hide GPU/DRAM limits but added latency, bandwidth contention and coherence costs must be measured.","CPU+CXL memory expander; CXL fabric; remote memory; simulator; prototype system",needs_review,"CXL 3.0 spec; Clio; Nimble; SDFM; Mitosis; PACT CXL/KV rows; vCXLGen/CXLfork venue rows","https://computeexpresslink.org/wp-content/uploads/2024/02/CXL-3.0-Specification.pdf; https://computeexpresslink.org/blog/explaining-cxl-memory-pooling-and-sharing-1049/; https://github.com/WukLab/Clio; https://github.com/ysarch-lab/nimble_page_management_asplos_2019",verified,"CXL spec and code repos are not evidence that a benchmark ran locally."
"WA-WL-PIM-003",pim_cxl_memory,"Near-data graph, pointer and sparse workloads","Move graph, linked-list or sparse operations closer to memory where pointer chasing and random access dominate.","GraphSAR graphs; GAP/Graph500 graphs; linked-list traversal; sparse matrices; NDP research traces","pointer chasing; sparse gather/scatter; graph frontier expansion; PIM allocation; reduction/atomic support","Random access can benefit from near-data execution, but load balance, programmability and host synchronization remain risks.","PIM/NDP simulator; 3D-stacked memory; ReRAM crossbar; CPU+NDP",needs_review,"GraphSAR; Connection-based PIM; Optimal Data Allocation; PACT linked-list traversal; HPCA/ICCD NDP rows","https://www.aspdac.com/aspdac2019/archive/program/program_abst.html; https://doi.org/10.1145/3400302.3415685; https://dl.acm.org/doi/10.1145/3620666.3651336",needs_review,"Many rows are title/abstract-level; use as candidate workload family, not a stable benchmark."
WA-WL-BENCH-001,benchmark_profiling,Benchmark and profiler normalization,"Normalize benchmark, artifact and profiling evidence across domains before comparing accelerator claims.","Any workload in this inventory; benchmark scripts; profiler traces; simulator output; power logs","baseline identification; run configuration; counter collection; timeline tracing; claim ledger update","Without baseline provenance, tool versions, input shape and measurement level, speedup and energy claims are not comparable.","GPU; FPGA; ASIC simulator; SoC; CPU/HPC cluster",runnable_unchecked,"Nsight Systems/Compute; CUPTI; ROCProfiler; Vitis Analyzer; Linux perf; Perfetto; Arm Streamline; Timeloop/Accelergy; MLPerf","https://docs.nvidia.com/nsight-systems/UserGuide/index.html; https://docs.nvidia.com/nsight-compute/; https://docs.amd.com/r/en-US/ug1393-vitis-application-acceleration/Analyzing-Application-Performance; https://perf.wiki.kernel.org/index.php/Main_Page; https://perfetto.dev/docs/; https://mlcommons.org/working-groups/benchmarks/inference/",verified,"This row records methodology workload, not a single benchmark result."
WA-WL-BENCH-002,benchmark_profiling,Artifact and reproducibility audit workload,"Track whether code, data, scripts and hardware requirements exist and whether claims are runnable, unchecked, evaluated, restricted or missing.","Paper artifact packages; GitHub repos; Zenodo archives; benchmark datasets; official artifact-evaluation badges","URL check; license/access check; dependency and hardware requirement extraction; artifact status assignment","A public URL is not equivalent to a local execution result; hardware-specific artifacts may be effectively access-restricted.","Local audit scripts; web/source checks; artifact evaluation reports; repository metadata",runnable_unchecked,"ACM artifact packages; GitHub repos; MLCommons submissions; venue artifact rows; project run cards","https://www.acm.org/publications/policies/artifact-review-and-badging-current; https://github.com/mlcommons/inference; https://github.com/robotperf/benchmarks; https://github.com/nerfbaselines/nerfbaselines",verified,"This project did not execute artifacts; statuses are conservative by design."
