field_id,domain,workload_id,metric_name,metric_definition,unit,collection_method,required_hardware_or_tool,used_by_papers_or_benchmarks,interpretation_notes,source_urls,verification_status,notes
"PF-FPGA-003","fpga_hls","WA-WL-FPGA-001","initiation_interval","Cycles between starting consecutive loop or function iterations in a pipeline.","cycles/iteration","Read HLS synthesis report or dataflow viewer.","Vitis HLS; HLS report parser","Rosetta; AutoSA; TAPA; HeteroCL; Vitis HLS reports","II can be invalidated by memory stalls and FIFO backpressure on board.","https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://github.com/UCLA-VAST/tapa; https://github.com/cornell-zhang/heterocl","verified","Pair with PF-FPGA-006."
"PF-FPGA-004","fpga_hls","WA-WL-FPGA-001","kernel_latency","Estimated or measured latency for an HLS function, loop or accelerator kernel.","cycles; us; ms","HLS report, RTL co-simulation, board counter or host timer.","Vitis HLS; Vivado; board runtime; RealProbe","Vitis HLS; RealProbe; HLS-Timer rows","Tripcount, fill/drain cycles and host transfer inclusion must be explicit.","https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://github.com/sharc-lab/RealProbe","verified","Mark estimate, co-sim or board measurement."
"PF-FPGA-005","fpga_hls","WA-WL-FPGA-003","effective_external_memory_bandwidth","Measured bandwidth to HBM, DDR, PCIe or host memory.","GB/s","Memory microbenchmark, Vitis Analyzer transfer profile, or board counters.","Shuhai; Vitis Analyzer; board memory controller counters","Shuhai; HBM FPGA papers; FPGA host/cloud rows","Access pattern, burst length and bank/channel mapping can dominate results.","https://github.com/RC4ML/Shuhai; https://docs.amd.com/r/en-US/ug1393-vitis-application-acceleration/Analyzing-Application-Performance","verified","Record direction and channel count."
"PF-FPGA-006","fpga_hls","WA-WL-FPGA-001","pipeline_stall_or_backpressure","Cycles or time where dataflow stages are stalled, starved or backpressured.","cycles; percent","Dataflow viewer, FIFO occupancy trace, on-FPGA profiler or simulator trace.","Vitis HLS dataflow viewer; RealProbe; LightningSim","RealProbe; LightningSim; FIFOAdvisor","Do not infer pipeline balance from II alone; classify stall cause.","https://github.com/sharc-lab/RealProbe; https://github.com/sharc-lab/LightningSim; https://github.com/sharc-lab/fifo-advisor","verified","Useful for dataflow accelerator debugging."
"PF-FPGA-007","fpga_hls","WA-WL-FPGA-003","board_power_or_energy","Measured FPGA board/chip power and energy per operation or frame.","W; J/op; J/frame","Board telemetry, external power meter or vendor power analysis.","On-board sensors; Vivado power; external meter","FPGA accelerator papers; A-SSCC/VLSI/ISSCC rows","Vendor power estimates and wall power are not interchangeable.","https://docs.amd.com/r/en-US/ug1399-vitis-hls; https://docs.amd.com/r/en-US/ug1393-vitis-application-acceleration/Analyzing-Application-Performance","verified","No board measurement was taken."
"PF-PIM-001","pim_cxl_memory","WA-WL-PIM-002","cxl_or_far_memory_latency","Access latency for local DRAM, CXL memory, pooled memory or remote memory.","ns; us","Pointer-chase microbenchmark, memory benchmark, simulator or hardware counter.","CXL platform; far-memory prototype; simulator; perf counters","Clio; Nimble; SDFM; CXL venue rows","Latency distribution and page/cache hit state matter; single average is weak evidence.","https://computeexpresslink.org/wp-content/uploads/2024/02/CXL-3.0-Specification.pdf; https://github.com/WukLab/Clio; https://github.com/ysarch-lab/nimble_page_management_asplos_2019","verified","No CXL hardware was accessed."
"PF-PIM-002","pim_cxl_memory","WA-WL-PIM-002","remote_memory_bandwidth","Sustained bandwidth to CXL, pooled, remote or far memory under a stated access pattern.","GB/s","STREAM-style benchmark, memory benchmark, simulator, or application counter.","CXL memory expander; remote-memory testbed; simulator","Clio; far-memory systems; CXL memory rows","Bandwidth depends on read/write mix, queue depth and contention.","https://computeexpresslink.org/blog/explaining-cxl-memory-pooling-and-sharing-1049/; https://github.com/WukLab/Clio","verified","Record local baseline."
"PF-PIM-003","pim_cxl_memory","WA-WL-PIM-002","page_migration_volume","Number of pages or bytes migrated between memory tiers.","pages; bytes","OS/runtime counters, trace instrumentation, or simulator logs.","Tiered-memory runtime; CXL/far-memory prototype; simulator","Nimble; SDFM; tiered-memory systems; LLM KV offload rows","Migration can improve hit rate while adding traffic; record trigger policy.","https://github.com/ysarch-lab/nimble_page_management_asplos_2019; https://arxiv.org/abs/2303.06865","verified","Use with PF-PIM-001 and PF-PIM-002."
"PF-PIM-004","pim_cxl_memory","WA-WL-PIM-001","pim_array_or_bank_utilization","Fraction of memory-array, bank or near-memory compute resources doing useful work.","percent","Simulator counters, hardware performance counters, or paper-reported utilization.","PIM/CIM simulator; chip measurement setup; architecture model","AttAcc; PRIMATE; Transformer Hetero-CiM; CIMFormer","High theoretical bandwidth does not imply high array utilization.","https://doi.org/10.1145/3620666.3651336; https://www.aspdac.com/aspdac2024/archive/program/program_abst.html; https://ieeexplore.ieee.org/document/9580474/","needs_review","Definitions differ across analog, digital and DRAM-PIM work."
"PF-PIM-005","pim_cxl_memory","WA-WL-PIM-001","conversion_or_precision_overhead","Cost and accuracy impact of ADC/DAC, quantization, analog variation or approximate compute.","energy; latency; accuracy delta","Circuit/architecture simulator, chip measurement, or evaluation table.","CIM/PIM simulator; circuit model; accuracy evaluation script","ReRAM Transformer rows; CIMFormer; LoRA-CIM; analog-PIM papers","Analog and quantized systems need both system and accuracy metrics.","https://ieeexplore.ieee.org/document/9580474/; https://www.aspdac.com/aspdac2026/program/program-abstract.html#6B-5","needs_review","Use conservative status unless circuit artifacts are checked."
"PF-PIM-006","pim_cxl_memory","WA-WL-PIM-001","energy_per_access_or_token","Energy cost per memory access, operation or LLM token for PIM/CIM/offload design.","pJ/access; nJ/op; J/token","Simulator energy model, chip measurement, or power integration.","Accelergy/Timeloop; circuit simulator; silicon measurement; power meter","AttAcc; CIMFormer; TCAD/JSSC PIM rows","Energy accounting must state whether peripheral, host and data movement are included.","https://github.com/Accelergy-Project/accelergy; https://doi.org/10.1145/3620666.3651336","verified","No simulator was run."
"PF-PIM-007","pim_cxl_memory","WA-WL-PIM-003","near_data_offload_ratio","Fraction of work, memory accesses or bytes handled near memory rather than on the host.","percent","Simulator counters, trace classification, or runtime instrumentation.","NDP/PIM simulator; graph benchmark trace; host runtime logs","GraphSAR; connection-based PIM; linked-list traversal rows","High offload ratio can still lose if synchronization and reductions dominate.","https://www.aspdac.com/aspdac2019/archive/program/program_abst.html; https://doi.org/10.1145/3400302.3415685","needs_review","Candidate field for future artifact checks."
"PF-BENCH-001","benchmark_profiling","WA-WL-BENCH-001","tool_version_and_configuration","Profiler, compiler, driver, benchmark and library versions used for measurement.","version string; config hash","Record from command output, report metadata or artifact README.","Profiler CLI; package manager; benchmark harness","Nsight; ROCProfiler; Vitis; MLPerf; project run cards","Different versions change counters, kernels and rules; always capture exact version.","https://docs.nvidia.com/nsight-systems/UserGuide/index.html; https://docs.nvidia.com/nsight-compute/; https://rocm.docs.amd.com/projects/rocprofiler/en/latest/; https://mlcommons.org/benchmarks/inference-datacenter/","verified","For this task, versions were not collected because no benchmarks ran."
"PF-BENCH-002","benchmark_profiling","WA-WL-BENCH-001","input_shape_or_dataset_record","Exact input sizes, scene, graph, sequence length, model, benchmark class or dataset split.","structured metadata","Read benchmark configuration, dataset manifest, artifact script or paper table.","Benchmark harness; dataset files; paper appendix","All workload families in this inventory","Most accelerator claims are not comparable without input shape and dataset.","https://www.nas.nasa.gov/software/npb.html; https://github.com/mlcommons/inference; https://github.com/nerfbaselines/nerfbaselines","verified","Use CSV notes for exceptions."
"PF-BENCH-003","benchmark_profiling","WA-WL-BENCH-001","baseline_provenance","Identity and configuration of the baseline used for speedup, efficiency or energy comparison.","name; version; commit; flags","Extract from artifact README, scripts, paper table or local run log.","Repository metadata; build scripts; run card","All workload families in this inventory","Speedup without baseline provenance is weak evidence.","https://www.acm.org/publications/policies/artifact-review-and-badging-current; https://github.com/mlcommons/inference","verified","This inventory does not claim speedups."
"PF-BENCH-004","benchmark_profiling","WA-WL-BENCH-001","run_count_and_variance","Number of runs and observed variability for reported metrics.","count; percent; confidence interval","Benchmark harness statistics or repeated measurement log.","Benchmark runner; statistical script","MLPerf; HPC benchmarks; artifact evaluation reports","Single-run measurements are fragile for short kernels or loaded systems.","https://mlcommons.org/benchmarks/inference-datacenter/; https://www.hpcg-benchmark.org/","verified","Not applicable to this no-run task except as future requirement."
"PF-BENCH-005","benchmark_profiling","WA-WL-BENCH-001","power_measurement_boundary","Hardware scope included in power or energy measurement.","chip; board; node; rack; wall","Read power tool configuration, meter wiring notes or paper methods.","NVML; RAPL/powercap; board sensors; external meter; MLPerf Power","MLPerf Power; FPGA/ASIC papers; edge robotics rows","Energy numbers are not comparable when boundaries differ.","https://docs.nvidia.com/deploy/nvml-api/; https://www.kernel.org/doc/html/latest/power/powercap/powercap.html; https://mlcommons.org/benchmarks/inference-datacenter/","verified","Always pair with workload metric."
"PF-BENCH-006","benchmark_profiling","WA-WL-BENCH-002","artifact_access_and_status","Evidence level for whether code, data, scripts and hardware are public and runnable.","status label","URL inspection, README extraction, artifact badge check and run-card update.","Browser/source check; repository metadata; project source policy","ACM artifact badging; MLCommons; venue artifact rows","Public repository does not imply local execution; hardware-specific artifacts may remain access-restricted.","https://www.acm.org/publications/policies/artifact-review-and-badging-current; https://github.com/mlcommons/inference; 01_control/SOURCE_POLICY.md","verified","Use statuses such as runnable_unchecked and access_restricted; do not write reproduced."
