paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
PACT-2016-P0011,PACT,PACT,2016,complete,Energy Aware Persistence: Reducing Energy Overheads of Memory-based Persistence in NVMs,Sudarsun Kannan|Moinuddin K. Qureshi|Ada Gavrilovska|Karsten Schwan,Conference Papers,,accepted_paper,10.1145/2967938.2967953,,,,,https://dblp.org/rec/conf/IEEEpact/KannanQGS16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967953,paper,primary,verified,high,T10/T01/T11,memory_pim_cxl_persistence,memory|pim|near_memory|cxl|nvm|kv_cache|data_movement,PACT-C05,"Memory, PIM, CXL, persistence, and data movement",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0012,PACT,PACT,2016,complete,EXCITE-VM: Extending the Virtual Memory System to Support Snapshot Isolation Transactions,Heiner Litz|Benjamin Braun|David R. Cheriton,Conference Papers,,accepted_paper,10.1145/2967938.2967955,,,,,https://dblp.org/rec/conf/IEEEpact/LitzBC16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967955,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0013,PACT,PACT,2016,complete,Fusion of Parallel Array Operations,Mads Ruben Burgdorff Kristensen|Simon Andreas Frimann Lund|Troels Blum|James Avery,Conference Papers,,accepted_paper,10.1145/2967938.2967945,,,,,https://dblp.org/rec/conf/IEEEpact/KristensenLBA16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967945,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0014,PACT,PACT,2016,complete,Greater Performance and Better Efficiency: Predicated Execution has shown us the way,Yale N. Patt,Conference Papers,,accepted_paper,10.1145/2967938.2970376,,,,,https://dblp.org/rec/conf/IEEEpact/Patt16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2970376,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0015,PACT,PACT,2016,complete,Hash Map Inlining,Dibakar Gope|Mikko H. Lipasti,Conference Papers,,accepted_paper,10.1145/2967938.2967949,,,,,https://dblp.org/rec/conf/IEEEpact/GopeL16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967949,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0016,PACT,PACT,2016,complete,Integrating Algorithmic Parameters into Benchmarking and Design Space Exploration in 3D Scene Understanding,Bruno Bodin|Luigi Nardi|M. Zeeshan Zia|Harry Wagstaff|Govind Sreekar Shenoy|Murali Krishna Emani|John Mawer|Christos Kotselidis|Andy Nisbet|Mikel Luján|Björn Franke|Paul H. J. Kelly|Michael F. P. O'Boyle,Conference Papers,,accepted_paper,10.1145/2967938.2967963,,,,,https://dblp.org/rec/conf/IEEEpact/BodinNZWSEMKNLF16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967963,paper,primary,verified,high,T11,profiling_benchmark_modeling,profiling|benchmark|modeling|simulation|sample_selection,PACT-C09,"Profiling, benchmarking, modeling, and simulation",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0017,PACT,PACT,2016,complete,MicroSpec: Speculation-Centric Fine-Grained Parallelization for FSM Computations,Junqiao Qiu|Zhijia Zhao 0001|Bin Ren 0002,Conference Papers,,accepted_paper,10.1145/2967938.2967965,,,,,https://dblp.org/rec/conf/IEEEpact/QiuZR16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967965,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0018,PACT,PACT,2016,complete,OAWS: Memory Occlusion Aware Warp Scheduling,Bin Wang 0019|Yue Zhu 0002|Weikuan Yu,Conference Papers,,accepted_paper,10.1145/2967938.2967947,,,,,https://dblp.org/rec/conf/IEEEpact/WangZY16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967947,paper,primary,verified,high,T08/T10/T11,gpu_memory_runtime_microarchitecture,gpu|runtime|cache|address_translation|warp|kernel,PACT-C02,"GPU memory, runtime, and microarchitecture",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0019,PACT,PACT,2016,complete,Online Scalability Characterization of Data-Parallel Programs on Many Cores,Younghyun Cho|Surim Oh|Bernhard Egger 0002,Conference Papers,,accepted_paper,10.1145/2967938.2967960,,,,,https://dblp.org/rec/conf/IEEEpact/ChoOE16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967960,paper,primary,verified,high,T06/T07/T12,spatial_fpga_heterogeneous_accelerators,fpga|spatial|heterogeneous|accelerator|hls|source_to_source,PACT-C06,"Spatial, FPGA, and heterogeneous accelerators",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0020,PACT,PACT,2016,complete,Optimizing Indirect Memory References with milk,Vladimir Kiriansky|Yunming Zhang|Saman P. Amarasinghe,Conference Papers,,accepted_paper,10.1145/2967938.2967948,,,,,https://dblp.org/rec/conf/IEEEpact/KirianskyZA16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2967948,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0021,PACT,PACT,2016,complete,POSTER: An Integrated Vector-Scalar Design on an In-order ARM Core,Milan Stanic|Oscar Palomar|Timothy Hayes 0001|Ivan Ratkovic|Osman S. Unsal|Adrián Cristal|Mateo Valero,Conference Papers,,accepted_paper,10.1145/2967938.2974057,,,,,https://dblp.org/rec/conf/IEEEpact/StanicP0RUCV16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974057,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0022,PACT,PACT,2016,complete,POSTER: An Optimization of Dataflow Architectures for Scientific Applications,Xiaowei Shen|Xiaochun Ye|Xu Tan 0001|Da Wang|Zhimin Zhang 0004|Dongrui Fan|Zhimin Tang,Conference Papers,,accepted_paper,10.1145/2967938.2974054,,,,,https://dblp.org/rec/conf/IEEEpact/ShenYTWZFT16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974054,paper,primary,verified,high,T03/T04/T09/T11,domain_visual_robotics_genomics,3dgs|robotics|slam|vision|genomics|scientific|mobile_gpu,PACT-C08,"Domain, visual, robotics, genomics, and scientific workloads",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0023,PACT,PACT,2016,complete,POSTER: Collective Dynamic Parallelism for Directive Based GPU Programming Languages and Compilers,Guray Ozen|Eduard Ayguadé|Jesús Labarta,Conference Papers,,accepted_paper,10.1145/2967938.2974056,,,,,https://dblp.org/rec/conf/IEEEpact/OzenAL16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974056,paper,primary,verified,high,T07/T08/T11,compiler_codegen_autotuning,compiler|code_generation|autotuning|polyhedral|dsl|mlir|loop_optimization,PACT-C01,"Compiler, code generation, and autotuning",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0024,PACT,PACT,2016,complete,POSTER: Easy PRAM-based High-Performance Parallel Programming with ICE,Fady Ghanim|Rajeev Barua|Uzi Vishkin,Conference Papers,,accepted_paper,10.1145/2967938.2974053,,,,,https://dblp.org/rec/conf/IEEEpact/GhanimBV16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974053,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0025,PACT,PACT,2016,complete,POSTER: Efficient Self-Invalidation/Self-Downgrade for Critical Sections with Relaxed Semantics,Alberto Ros 0001|Carl Leonardsson|Christos Sakalis|Stefanos Kaxiras,Conference Papers,,accepted_paper,10.1145/2967938.2974050,,,,,https://dblp.org/rec/conf/IEEEpact/RosLSK16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974050,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0026,PACT,PACT,2016,complete,POSTER: Exploiting Asymmetric Multi-Core Processors with Flexible System Sofware,Kallia Chronaki|Miquel Moretó|Marc Casas|Alejandro Rico|Rosa M. Badia|Eduard Ayguadé|Jesús Labarta|Mateo Valero,Conference Papers,,accepted_paper,10.1145/2967938.2976038,,,,,https://dblp.org/rec/conf/IEEEpact/ChronakiMCRBALV16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2976038,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0027,PACT,PACT,2016,complete,POSTER: Fault-tolerant Execution on COTS Multi-core Processors with Hardware Transactional Memory Support,Florian Haas|Sebastian Weis|Theo Ungerer|Gilles Pokam|Youfeng Wu,Conference Papers,,accepted_paper,10.1145/2967938.2974051,,,,,https://dblp.org/rec/conf/IEEEpact/HaasWUPW16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974051,paper,primary,verified,high,T10/T12/T11,security_reliability_specialized_crypto,security|reliability|side_channel|crypto|fhe|zkp|pqc,PACT-C07,"Security, reliability, and crypto accelerators",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0028,PACT,PACT,2016,complete,POSTER: Firestorm: Operating Systems for Power-Constrained Architectures,Sankaralingam Panneerselvam|Michael M. Swift,Conference Papers,,accepted_paper,10.1145/2967938.2975607,,,,,https://dblp.org/rec/conf/IEEEpact/PanneerselvamS16a,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2975607,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0029,PACT,PACT,2016,complete,POSTER: Fly-Over: A Light-Weight Distributed Power-Gating Mechanism For Energy-Efficient Networks-on-Chip,Rahul Boyapati|Jiayi Huang 0001|Ningyuan Wang|Kyung Hoon Kim|Ki Hwan Yum|Eun Jung Kim 0001,Conference Papers,,accepted_paper,10.1145/2967938.2974058,,,,,https://dblp.org/rec/conf/IEEEpact/BoyapatiHWKY016,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974058,paper,primary,verified,high,T11,general_needs_review,needs_review,PACT-C99,General PACT needs-review rows,uncertain,Fallback title-level bucket; not a stable topic.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0030,PACT,PACT,2016,complete,POSTER: hVISC: A Portable Abstraction for Heterogeneous Parallel Systems,Prakalp Srivastava|Maria Kotsifakou|Matthew D. Sinclair|Rakesh Komuravelli|Vikram S. Adve|Sarita V. Adve,Conference Papers,,accepted_paper,10.1145/2967938.2976039,,,,,https://dblp.org/rec/conf/IEEEpact/SrivastavaKSKAA16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2976039,paper,primary,verified,high,T06/T07/T12,spatial_fpga_heterogeneous_accelerators,fpga|spatial|heterogeneous|accelerator|hls|source_to_source,PACT-C06,"Spatial, FPGA, and heterogeneous accelerators",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0031,PACT,PACT,2016,complete,POSTER: Hybrid Data Dependence Analysis for Loop Transformations,Diogo Nunes Sampaio|Alain Ketterlin|Louis-Noël Pouchet|Fabrice Rastello,Conference Papers,,accepted_paper,10.1145/2967938.2974059,,,,,https://dblp.org/rec/conf/IEEEpact/SampaioKPR16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974059,paper,primary,verified,high,T07/T08/T11,compiler_codegen_autotuning,compiler|code_generation|autotuning|polyhedral|dsl|mlir|loop_optimization,PACT-C01,"Compiler, code generation, and autotuning",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0032,PACT,PACT,2016,complete,POSTER: Pagoda: A Runtime System to Maximize GPU Utilization in Data Parallel Tasks with Limited Parallelism,Tsung Tai Yeh|Amit Sabne|Putt Sakdhnagool|Rudolf Eigenmann|Timothy G. Rogers,Conference Papers,,accepted_paper,10.1145/2967938.2974055,,,,,https://dblp.org/rec/conf/IEEEpact/YehSSER16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974055,paper,primary,verified,high,T08/T10/T11,gpu_memory_runtime_microarchitecture,gpu|runtime|cache|address_translation|warp|kernel,PACT-C02,"GPU memory, runtime, and microarchitecture",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0033,PACT,PACT,2016,complete,POSTER: SILC-FM: Subblocked InterLeaved Cache-Like Flat Memory Organization,Jee Ho Ryoo|Mitesh R. Meswani|Reena Panda|Lizy K. John,Conference Papers,,accepted_paper,10.1145/2967938.2974060,,,,,https://dblp.org/rec/conf/IEEEpact/RyooMPJ16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974060,paper,primary,verified,high,T08/T10/T11,gpu_memory_runtime_microarchitecture,gpu|runtime|cache|address_translation|warp|kernel,PACT-C02,"GPU memory, runtime, and microarchitecture",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
PACT-2016-P0034,PACT,PACT,2016,complete,POSTER: ξ-TAO: A Cache-centric Execution Model and Runtime for Deep Parallel Multicore Topologies,Miquel Pericàs,Conference Papers,,accepted_paper,10.1145/2967938.2974052,,,,,https://dblp.org/rec/conf/IEEEpact/Pericas16,,https://dblp.org/db/conf/IEEEpact/pact2016.html,,DBLP PACT 2016 proceedings metadata,https://doi.org/10.1145/2967938.2974052,paper,primary,verified,high,T08/T10/T11,gpu_memory_runtime_microarchitecture,gpu|runtime|cache|address_translation|warp|kernel,PACT-C02,"GPU memory, runtime, and microarchitecture",provisional,Cluster seed from gpt-5.5 xhigh clustering agent; title/session-level assignment.,,,,,none,,,maybe,abstract|keywords|session,DBLP XML row. DOI backfilled from existing DOI resolver source_url on 2026-06-27.
